,fold_0,fold_1,fold_2,fold_3,fold_4,mean_imp
RET_1,0.0013051930019439052,0.0010969175229102567,0.0012718689252985804,0.0009358511524576784,0.000619272424326589,0.001045820605387402
RET_2,0.0011913357400721968,0.0004804221049708013,0.00037211885587340454,1.388503193561208e-05,9.997222993615162e-05,0.00043154679255763323
RET_3,0.0006026103860038656,0.0006331574562621012,-0.0002693696195500972,-0.0001527353512912666,0.0001332963065815207,0.00018939183560122476
RET_4,0.0006331574562621455,0.00032490974729236787,0.00026936961955017493,-0.000638711469036346,0.00022493751735629396,0.00016273257428492724
RET_5,0.0005942793668425317,0.0007997778394889798,-0.00041655095806717444,-0.0015995556789780152,-0.0002499305748403069,-0.000174396001110797
RET_6,1.94390447098014e-05,0.001718966953623957,-0.00020272146625932574,-5.554012774200423e-06,0.0017800610941405282,0.0006620383226881521
RET_7,0.00035267981116355874,0.0021799500138849903,0.000535962232713183,-0.00023882254929182833,0.00045542904748683275,0.0006570397111913473
RET_8,0.0003499028047764252,0.0007442377117467091,-9.997222993608501e-05,0.00011108025548461908,0.0006525965009719692,0.00035156900860872754
RET_9,0.0013329630658150404,0.0014662593723965057,-0.0006525965009719248,-0.0005887253540682869,0.0008719800055540294,0.00048597611774507275
RET_10,0.0005887253540683091,0.0004776450985836789,-0.0011524576506525609,0.0006775895584560266,0.00021938350458207135,0.000162177173007505
RET_11,0.0010413773951680194,0.0017745070813662612,0.0011413496251041822,0.001560677589558479,0.00029713968342127696,0.0011630102749236439
RET_12,0.00012496528742015345,0.00012496528742010903,2.7770063871557226e-06,-1.9439044709768095e-05,-1.1108025548445256e-05,4.443210219384097e-05
RET_13,0.00017495140238822372,0.001613440710913594,0.00041099694529302957,0.00016106637045268935,0.00015828936406555582,0.0005037489586226185
RET_14,0.00017772840877534614,0.0013718411552346098,0.0007664537628436884,0.0019744515412385756,0.0005165231880033371,0.0009613996112191115
RET_15,0.0022132740905303925,0.0009886142738127935,0.00011941127464597523,0.0031907803387948297,0.002699250208275472,0.0018422660372118926
RET_16,-0.00028047764509858686,0.0010885865037489118,-0.0007470147181337983,0.00018328242154961317,0.0012746459316856807,0.0003038044987503641
RET_17,0.00017772840877533502,0.00038044987503466077,0.00010552624271040756,-8.331019161339492e-05,-0.0002110524854207041,7.386836989726086e-05
RET_18,0.0008136628714245809,0.0003832268814217832,0.0006692585392946814,-1.9439044709768095e-05,-0.00019716745348513642,0.0003299083587892282
RET_19,0.0007164676478755739,0.0015356845320743883,-0.00026103860038871883,-0.00010274923632321852,4.165509580672522e-05,0.0003860038878089501
SIGNED_VOLUME_1,4.443210219381433e-05,0.00012496528742012014,-0.000535962232713083,0.00026381560677594116,1.1108025548456357e-05,-1.8328242154950207e-05
SIGNED_VOLUME_2,0.0005165231880033483,0.00031935573451816743,-0.00011108025548455247,-3.0547070258235554e-05,1.3885031935578773e-05,0.0001416273257428613
